"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4796","test AK GEN TC09 positive name validation name","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","4998","test AK TBL TC02 positive data validation","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","6697","test AK TBL TC10 positive search with filter","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","3322","test AK GEN TC05 negative missing required fields","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","2863","test AK GEN TC02 positive close panel","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","6136","test AK GEN TC01 positive default state","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","2702","test AK GEN TC03 negative empty submission","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","10889","test AK GEN TC10 positive cross browser sync","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","8203","test AK TBL TC04 positive search by partial match","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","14552","test AK TBL TC08 positive column sorting","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","16321","test AK TBL TC08 positive column sorting","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","1980","test AK EDT TC02 positive fields validation expiry","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","1968","test AK GEN TC08 positive expiry date radio","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","10233","test AK TBL TC11 positive pagination page number","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","10190","test AK TBL TC09 positive column sorting with search","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","6362","test AK DEL TC01 positive cancel","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","9524","test AK EDT TC06 negative network error","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","12715","test AK GEN TC04 positive success generation","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","8962","test AK TBL TC13 positive pagination with search and filter with filter","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","6421","test AK DEL TC01 positive cancel","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","7402","test AK DEL TC03 positive after filled edit form","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","5431","test AK DEL TC01 positive cancel","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","37512","test AK TBL TC06 positive resize columns minimum","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","2975","test AK GEN TC05 negative missing required fields","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","6458","test AK DEL TC02 positive confirm","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","3652","test AK GEN TC06 negative network error","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Generate","",""
"","8140","test AK TBL TC04 positive search by partial match","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","9229","test AK DEL TC04 negative network error","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","864","test AK VIW TC02 positive close panel","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Panel View","",""
"","16276","test AK TBL TC08 positive column sorting","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","1657","test AK EDT TC05 negative missing required","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","16393","test AK TBL TC13 positive pagination with search and filter","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","3538","test AK VIW TC01 positive default state","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Panel View","",""
"","3802","test AK TBL TC04 positive search by non exist keyword","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","10202","test AK TBL TC09 positive column sorting with search","AQX","2026-06-08","passed","2026-06-08","","Settings - Api Keys - Table","",""
"","7502","test AK DEL TC05 negative delete deleted record","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Delete","",""
"","10549","test AK EDT TC04 positive success edit expiry","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","8908","test AK EDT TC04 positive success edit status","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","861","test AK EDT TC03 positive close panel","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
"","3584","test AK TBL TC13 positive pagination with search and filter reset","AQX","2026-05-27","passed","2026-05-27","","Settings - Api Keys - Table","",""
"","5252","test AK EDT TC01 positive default state","AQX","2026-06-01","passed","2026-06-01","","Settings - Api Keys - Panel Edit","",""
